Ticker,CQ_EPS,NQ_EPS,CY_EPS,NY_EPS,CQ_Rev,NQ_Rev,CY_Rev,NY_Rev,Year,Annual EPS,Annual Revenue,Date,Quarter EPS,Quarter Revenue,Previous Quarter EPS2,Previous Quarter EPS,Corrent Quarter EPS,Next Quarter EPS,Previous Annual EPS2,Previous Annual EPS,Corrent Annual EPS,Next Annual EPS,Previous Quarter Revenue2,Previous Quarter Revenue,Corrent Quarter Revenue,Next Quarter Revenue,Previous Annual Revenue2,Previous Annual Revenue,Corrent Annual Revenue,Next Annual Revenue
META,,,,,,,,,,,,2022/03/31,2.72,,167.7,77.7,50.0,35.9,-37.6,73.1,24.3,15.3,23.2,24.7,16.8,10.5,-1.1,15.7,8.9,12.5
META,,,,,,,,,,,,2021/12/31,3.67,,167.7,77.7,50.0,35.9,-37.6,73.1,24.3,15.3,23.2,24.7,16.8,10.5,-1.1,15.7,8.9,12.5
META,,,,,,,,,,,,2021/09/30,3.22,,167.7,77.7,50.0,35.9,-37.6,73.1,24.3,15.3,23.2,24.7,16.8,10.5,-1.1,15.7,8.9,12.5
META,,,,,,,,,2023,,134902000000.0,,,,167.7,77.7,50.0,35.9,-37.6,73.1,24.3,15.3,23.2,24.7,16.8,10.5,-1.1,15.7,8.9,12.5
META,,,,,,,,,2022,,116609000000.0,,,,167.7,77.7,50.0,35.9,-37.6,73.1,24.3,15.3,23.2,24.7,16.8,10.5,-1.1,15.7,8.9,12.5
META,,,,,,,,,2021,,117929000000.0,,,,167.7,77.7,50.0,35.9,-37.6,73.1,24.3,15.3,23.2,24.7,16.8,10.5,-1.1,15.7,8.9,12.5
META,,,,,,,,,,,,2023/12/31,,40112000000.0,167.7,77.7,50.0,35.9,-37.6,73.1,24.3,15.3,23.2,24.7,16.8,10.5,-1.1,15.7,8.9,12.5
META,,,,,,,,,,,,2023/09/30,,34146000000.0,167.7,77.7,50.0,35.9,-37.6,73.1,24.3,15.3,23.2,24.7,16.8,10.5,-1.1,15.7,8.9,12.5
META,,,,,,,,,,,,2023/06/30,,31999000000.0,167.7,77.7,50.0,35.9,-37.6,73.1,24.3,15.3,23.2,24.7,16.8,10.5,-1.1,15.7,8.9,12.5
META,,,,,,,,,,,,2023/03/31,,28645000000.0,167.7,77.7,50.0,35.9,-37.6,73.1,24.3,15.3,23.2,24.7,16.8,10.5,-1.1,15.7,8.9,12.5
META,,,,,,,,,,,,2022/12/31,,32165000000.0,167.7,77.7,50.0,35.9,-37.6,73.1,24.3,15.3,23.2,24.7,16.8,10.5,-1.1,15.7,8.9,12.5
META,,,,,,,,,,,,2022/09/30,,27714000000.0,167.7,77.7,50.0,35.9,-37.6,73.1,24.3,15.3,23.2,24.7,16.8,10.5,-1.1,15.7,8.9,12.5
